category,question,answer
addition ,2+1,3
addition ,4+1,5
addition ,G13_EnvironTree_Icon.jpg',38
addition ,5+1,6
addition ,8+11,19
addition ,4+8,12
addition,G13_EnvironTree_Icon.jpg,1000
division,41367,0.75
division,41309,2
history,when was oliver cromwell born,1599
javascript,Difference between window.onload and onDocumentReady?,1,ans1,ans2,ans3
addition1 ,2+1,3
addition2 ,4+1,5
addition3,32+6,38
c# keywords,Name all keywords?,MA,if,then,else,new,abstract,base,virtual,sealed,interface,get,set,private,public,protected
